xx,TRADE_DATE,SECURITY_CODE,SECURITY_ABBR,CALL_VOLUME,PUT_VOLUME,TOTAL_VOLUME,LEAVES_CALL_QTY,LEAVES_PUT_QTY,LEAVES_QTY,CJ_PC,CCL_PC
2.02e+13,20230329,159922,中证500ETF,28923,29817,58740,57473,62868,120341,103.09,109.39
2.02e+13,20230329,300,IO,30229,26637,56866,69477,66065,135542,88.12,95.09
2.02e+13,20230329,852,MO,18753,16971,35724,36811,36641,73452,90.5,99.54
2.02e+13,20230329,16,HO,11670,8259,19929,27644,15932,43576,70.77,57.63
2.02e+13,20230330,510050,50ETF,949525,836695,1786220,963061,904246,1867307,88.12,93.89
2.02e+13,20230330,510300,300ETF,639328,557296,1196624,607985,674968,1282953,87.17,111.02
2.02e+13,20230330,510500,500ETF,201303,238313,439616,256323,313659,569982,118.39,122.37
2.02e+13,20230330,159901,深证100ETF,39729,19882,59611,49454,42228,91682,50.04,85.39
2.02e+13,20230330,159915,创业板ETF,301937,230291,532228,517235,388992,906227,76.27,75.21
2.02e+13,20230330,159919,沪深300ETF,79179,70195,149374,91701,108953,200654,88.65,118.81
2.02e+13,20230330,159922,中证500ETF,35768,35782,71550,58240,65717,123957,100.04,112.84
2.02e+13,20230330,300,IO,50284,39505,89789,70865,67030,137895,78.56,94.59
2.02e+13,20230330,852,MO,24988,23608,48596,37843,36870,74713,94.48,97.43
2.02e+13,20230330,16,HO,18845,12310,31155,28300,16201,44501,65.32,57.25
2.02e+13,20230331,510050,50ETF,766766,643415,1410181,989013,898783,1887796,83.91,90.88
2.02e+13,20230331,510300,300ETF,473111,416892,890003,611930,686972,1298902,88.12,112.26
2.02e+13,20230331,510500,500ETF,206258,188177,394435,255057,325092,580149,91.23,127.46
2.02e+13,20230331,159901,深证100ETF,23719,22528,46247,49731,44076,93807,94.98,88.63
2.02e+13,20230331,159915,创业板ETF,286206,251572,537778,507698,384549,892247,87.9,75.74
2.02e+13,20230331,159919,沪深300ETF,72455,66798,139253,95214,120872,216086,92.19,126.95
2.02e+13,20230331,159922,中证500ETF,29149,28508,57657,57584,64549,122133,97.8,112.1
